i,j,ftle,x_km,y_km,lon,lat,rank
119,21,0.017279625081861393,136.8445423047844,-213.12390378093806,64.30555555555556,17.583333333333332,1
55,38,0.015906567541584607,-49.49696211024116,-160.61511589288085,62.52777777777778,18.055555555555557,2
45,3,0.015267810589224263,-78.61282217508892,-268.7214438977045,62.25,17.083333333333332,3
18,169,0.014809543985287192,-157.22564435017782,244.01142606803052,61.5,21.694444444444443,4
6,176,0.014577291590052966,-192.16467642799512,265.6326916689953,61.166666666666664,21.88888888888889,5
