i,j,ftle,x_km,y_km,lon,lat,rank
82,176,0.018371266851435065,29.115860064847737,265.6326916689953,63.27777777777778,21.88888888888889,1
55,31,0.017709041790844926,-49.49696211024116,-182.23638149384558,62.52777777777778,17.86111111111111,2
102,35,0.017269764751455825,87.34758019454324,-169.8813725790086,63.833333333333336,17.97222222222222,3
45,40,0.01686362561460427,-78.61282217508892,-154.43761143546237,62.25,18.11111111111111,4
41,138,0.015583402930870727,-90.25916620102801,148.26010697804384,62.138888888888886,20.833333333333332,5
