i,j,ftle,x_km,y_km,lon,lat,rank
44,24,0.018873421163163477,-81.52440818157368,-203.85764709481032,62.22222222222222,17.666666666666668,1
13,24,0.015966231579222903,-171.7835743826017,-203.85764709481032,61.361111111111114,17.666666666666668,2
28,169,0.01575743212190782,-128.10978428533008,244.01142606803052,61.77777777777778,21.694444444444443,3
77,3,0.01558767010896447,14.557930032423855,-268.7214438977045,63.138888888888886,17.083333333333332,4
83,53,0.01524612106552856,32.02744607133252,-114.28383246224215,63.30555555555556,18.47222222222222,5
