i,j,ftle,x_km,y_km,lon,lat,rank
43,27,0.01925739357129204,-84.43599418805846,-194.59139040868257,62.19444444444444,17.75,1
24,167,0.01692450275878493,-139.75612831126918,237.83392161061198,61.666666666666664,21.63888888888889,2
78,5,0.01551161699404322,17.469516038908637,-262.543939440286,63.166666666666664,17.13888888888889,3
80,36,0.015446632511370724,23.2926880518782,-166.79262035029933,63.22222222222222,18.0,4
78,53,0.01536746397203164,17.469516038908637,-114.28383246224215,63.166666666666664,18.47222222222222,5
